Input Voltage (V),Output Current (A),Fault Type
0.16,3.69,Short Circuit
0.06,4.82,Short Circuit
4.67,0.1,Open Circuit
5.07,0.1,Open Circuit
5.24,0.8,No Fault
0.46,2.92,Short Circuit
4.62,0.01,Open Circuit
5.43,1.13,No Fault
5.14,0.92,No Fault
4.69,1.13,No Fault
0.03,3.4,Short Circuit
0.36,2.4,Short Circuit
5.5,0.1,Open Circuit
0.18,4.38,Short Circuit
4.53,0.01,Open Circuit
0.23,3.41,Short Circuit
5.06,0.01,Open Circuit
0.02,4.56,Short Circuit
4.69,0.02,Open Circuit
5.45,0.07,Open Circuit
0.21,3.11,Short Circuit
5.19,0.1,Open Circuit
5.44,0.02,Open Circuit
5.49,0.9,No Fault
0.06,4.67,Short Circuit
4.6,0.04,Open Circuit
0.2,4.71,Short Circuit
4.51,0.02,Open Circuit
4.76,0.03,Open Circuit
0.11,2.21,Short Circuit
4.94,0.06,Open Circuit
5.2,0.03,Open Circuit
4.82,1.1,No Fault
4.85,0.92,No Fault
4.76,1.0,No Fault
4.7,1.06,No Fault
0.17,2.34,Short Circuit
0.07,3.1,Short Circuit
0.44,4.82,Short Circuit
0.18,3.03,Short Circuit
0.28,2.06,Short Circuit
4.67,0.92,No Fault
5.38,1.02,No Fault
4.51,1.04,No Fault
0.45,2.95,Short Circuit
5.44,1.1,No Fault
5.0,0.03,Open Circuit
4.7,0.07,Open Circuit
0.15,3.32,Short Circuit
0.49,2.9,Short Circuit
0.38,4.02,Short Circuit
4.52,0.01,Open Circuit
4.53,0.86,No Fault
5.22,0.9,No Fault
5.46,0.96,No Fault
5.04,0.09,Open Circuit
5.2,0.04,Open Circuit
0.21,4.53,Short Circuit
4.93,0.03,Open Circuit
5.2,0.95,No Fault
4.89,0.87,No Fault
5.33,0.07,Open Circuit
5.02,0.01,Open Circuit
5.27,0.03,Open Circuit
0.36,4.59,Short Circuit
4.62,0.01,Open Circuit
5.36,1.12,No Fault
5.18,1.18,No Fault
0.27,2.01,Short Circuit
4.74,1.01,No Fault
4.77,0.08,Open Circuit
5.18,0.9,No Fault
0.3,4.66,Short Circuit
5.24,0.07,Open Circuit
0.43,3.78,Short Circuit
5.22,0.0,Open Circuit
4.81,0.09,Open Circuit
0.03,4.29,Short Circuit
4.97,1.12,No Fault
5.38,0.08,Open Circuit
5.42,1.12,No Fault
5.46,0.09,Open Circuit
4.71,0.02,Open Circuit
4.71,0.9,No Fault
4.69,0.07,Open Circuit
5.21,0.1,Open Circuit
5.26,0.03,Open Circuit
5.06,0.09,Open Circuit
0.38,2.86,Short Circuit
5.02,0.86,No Fault
4.75,0.97,No Fault
0.47,4.22,Short Circuit
5.14,1.09,No Fault
4.82,0.05,Open Circuit
5.44,1.1,No Fault
0.36,2.18,Short Circuit
0.34,2.85,Short Circuit
0.13,4.53,Short Circuit
5.17,0.01,Open Circuit
5.04,0.07,Open Circuit
Input_Voltage_V,Output_Current_A,Fault
223.2,2.79,No Fault
245.4,7.84,No Fault
270.5,13.19,No Fault
318.7,6.51,No Fault
229.8,6.56,No Fault
305.2,6.05,No Fault
302.2,8.65,No Fault
280.0,7.79,No Fault
218.9,6.98,No Fault
209.7,4.06,No Fault
296.2,7.84,No Fault
239.4,10.7,No Fault
222.5,8.47,No Fault
242.3,6.36,No Fault
279.0,5.2,No Fault
256.6,12.71,No Fault
305.3,8.55,No Fault
203.1,19.4,No Fault
226.6,13.82,No Fault
219.6,16.03,No Fault
277.9,11.88,No Fault
212.1,0.68,Open Circuit
240.5,8.93,No Fault
274.0,10.23,No Fault
244.2,12.63,No Fault
223.3,1.18,No Fault
291.3,12.62,No Fault
276.3,15.8,No Fault
290.5,1.65,No Fault
257.9,9.14,No Fault
297.2,10.39,No Fault
245.6,2.13,No Fault
246.5,11.56,No Fault
285.9,15.63,No Fault
269.1,11.93,No Fault
263.8,4.49,No Fault
264.8,10.26,No Fault
279.5,12.22,No Fault
202.0,9.88,No Fault
293.4,16.21,No Fault
286.7,19.9,No Fault
320.0,4.61,No Fault
220.6,6.4,No Fault
201.8,15.09,No Fault
235.1,18.86,No Fault
284.8,6.23,No Fault
256.4,18.51,No Fault
206.5,12.49,No Fault
250.1,10.35,No Fault
314.4,13.11,No Fault
224.4,15.72,No Fault
221.0,17.61,No Fault
222.4,8.36,No Fault
315.4,3.98,No Fault
285.0,10.84,No Fault
293.3,3.19,No Fault
292.5,3.92,No Fault
226.0,15.5,No Fault
202.1,4.47,No Fault
295.4,2.41,No Fault
227.6,8.58,No Fault
231.8,14.5,No Fault
229.9,18.87,No Fault
261.8,15.08,No Fault
293.1,14.23,No Fault
290.2,13.35,No Fault
284.8,6.48,No Fault
268.8,16.41,No Fault
244.7,4.81,No Fault
251.9,1.69,No Fault
313.3,11.07,No Fault
289.0,3.9,No Fault
318.0,4.21,No Fault
306.2,7.87,No Fault
307.6,9.44,No Fault
209.6,13.05,No Fault
211.6,19.82,No Fault
296.2,5.4,No Fault
278.4,15.82,No Fault
223.7,13.37,No Fault
220.3,2.76,No Fault
312.0,9.81,No Fault
287.2,13.46,No Fault
231.5,0.84,Open Circuit
284.8,15.73,No Fault
290.7,4.19,No Fault
215.4,8.09,No Fault
287.5,2.31,No Fault
221.9,18.59,No Fault
235.4,18.55,No Fault
244.4,16.09,No Fault
304.7,3.7,No Fault
202.2,15.45,No Fault
208.1,19.97,No Fault
226.8,13.08,No Fault
235.5,6.38,No Fault
295.1,0.52,Open Circuit
302.6,4.45,No Fault
318.4,14.08,No Fault
268.8,14.94,No Fault
307.9,14.76,No Fault
245.1,9.73,No Fault
295.6,5.15,No Fault
232.0,1.5,No Fault
213.7,8.43,No Fault
202.2,15.63,No Fault
311.3,14.9,No Fault
295.7,15.22,No Fault
